merchant_id,name
M061761,"PT. VITA SHOPINDO"
M061797,Shoponline.id
M061830,Suplemenku
M061839,Gurupedia
M061878,KASKUS
M007353,"Tunjungan Hotel Surabaya"
M061986,"PT. Insan Islami"
M061992,"Dyah Pitaloka Lingerie"
M062016,Praktisprint.com
M062049,Ayobermusik
M062097,"Biota Network"
M062112,wahanasuperstore
M062220,"PT Mitra Pinasthika Mustika Rent"
M062229,"PT. Sentralindo Trijaya Abadi"
M062274,eyelovin
M062316,Christinwu
M062360,"PT. RITTESA MAHKOTA KARYA"
M062400,"PT Laser Indonesia Multiteknik"
M062478,Faizsolusindo
M062574,"Yogya Online"
M062586,"Citra Nashwa Tour"
M062604,"GAKKEN HEALTH AND EDUCATION INDONESIA, PT"
M062632,"PAC GRAND CENTRAK PEKAN BARU"
M062640,"tigaraksa develope"
M062674,muzca
M062686,danasedia
