id,decision,friendly_name,aasm_state,identifier,override,approved_at
55749,deny,Customer phone is restricted,approved,CB0021657,1,2015-08-06 05:02:57
55764,deny,Email address is restricted,approved,CB0021658,1,2015-08-07 04:38:07
55767,deny,Card number is restricted,approved,CB0021659,1,2015-08-07 04:38:14
55770,deny,Customer phone is restricted,approved,CB0021660,1,2015-08-07 04:38:20
55773,deny,Email address is restricted,approved,CB0021661,1,2015-08-07 07:40:57
55776,deny,Card number is restricted,approved,CB0021662,1,2015-08-07 07:41:04
55779,deny,Customer phone is restricted,approved,CB0021663,1,2015-08-07 07:41:11
55785,deny,Email address is restricted,approved,CB0021664,1,2015-08-07 07:56:17
55788,deny,Card number is restricted,approved,CB0021665,1,2015-08-07 07:56:24
55791,deny,Card number is restricted,approved,CB0021666,1,2015-08-07 07:56:32
55794,deny,Card number is restricted,approved,CB0021667,1,2015-08-07 07:56:39
55797,deny,Card number is restricted,approved,CB0021668,1,2015-08-07 07:56:47
55800,deny,Card number is restricted,approved,CB0021669,1,2015-08-07 07:56:54
55803,deny,Card number is restricted,approved,CB0021670,1,2015-08-07 07:57:03
55806,deny,Card number is restricted,approved,CB0021671,1,2015-08-07 07:57:10
55809,deny,Card number is restricted,approved,CB0021672,1,2015-08-07 07:57:20
55812,deny,Card number is restricted,approved,CB0021673,1,2015-08-07 07:57:30
55815,deny,Card number is restricted,approved,CB0021674,1,2015-08-07 07:57:37
55818,deny,Card number is restricted,approved,CB0021675,1,2015-08-07 07:57:47
55821,deny,Card number is restricted,approved,CB0021676,1,2015-08-07 07:57:55
55824,deny,Card number is restricted,approved,CB0021677,1,2015-08-07 07:58:02
55827,deny,Customer phone is restricted,approved,CB0021678,1,2015-08-07 07:58:11
55830,deny,Customer phone is restricted,approved,CB0021679,1,2015-08-07 07:58:18
55833,deny,Customer phone is restricted,approved,CB0021680,1,2015-08-07 07:58:25
